"","mean","sd","0.025quant","0.5quant","0.975quant"
"b0",-10.7019099637764,27.5594618365271,-65.008824251321,-10.6591200888012,43.3169943103155
"altitude",0.00477186309136132,0.00350146334939516,-0.00185612724905578,0.00465847976867146,0.0120807985115392
"isothermality",-0.413556494674593,0.297171451617939,-1.02550528199596,-0.405433485740791,0.150035173006094
"temp.season",-0.00794079438530212,0.00591710280951483,-0.0208241112675011,-0.00757870023684459,0.00274397041917625
"annual.precp",0.0134181456761557,0.00434199959972894,0.00533992132805411,0.013249682407428,0.0225355517764846
"annual.temp",0.111041277520321,0.0695194173851183,-0.0163251626526414,0.107615891758582,0.25874906019595
"popden",-0.237520863069049,0.0287465514183311,-0.29677192420263,-0.23683056570369,-0.182286552049879
