"","x","y","Mean","Median","Var","SD","uncertainty","optional"
"2517890",39.3125,3.49583333333333,1.36699792437649e-154,8.87209224496603e-181,3.73736424842274e-307,6.11339860341426e-154,2.10843654812408e-157,TRUE
"2517891",39.3208333333333,3.49583333333333,7.02152374312749e-132,6.92545187524212e-155,9.86032638409162e-262,3.14011566412634e-131,2.97907199199926e-134,TRUE
"2517892",39.3291666666667,3.49583333333333,4.10720126702607e-129,9.87204140582452e-152,3.37380694687646e-256,1.83679257045439e-128,1.96545411313991e-131,TRUE
"2517893",39.3375,3.49583333333333,3.47720641222963e-148,1.77676237640561e-173,2.41819038657987e-294,1.55505317805529e-147,7.09857216865381e-151,TRUE
"2517894",39.3458333333333,3.49583333333333,6.42549154274657e-134,3.259545105604e-157,8.25736442912481e-266,2.87356301986311e-133,2.47894353075675e-136,TRUE
"2517895",39.3541666666667,3.49583333333333,4.47191908260145e-127,2.08387963625548e-149,3.99959286318729e-252,1.99989821320668e-126,1.96718023726444e-129,TRUE
"2517896",39.3625,3.49583333333333,1.00810753619134e-138,1.10230729909944e-162,2.03255752480397e-275,4.50838942950138e-138,3.12851306052035e-141,TRUE
"2517897",39.3708333333333,3.49583333333333,1.73545182770857e-118,1.30891514235186e-139,6.02353220605689e-235,7.76114180134398e-118,1.18020661660272e-120,TRUE
"2517898",39.3791666666667,3.49583333333333,1.61167244580666e-112,8.65203045188163e-133,5.19490374895536e-223,7.20756807040722e-112,1.48207690513344e-114,TRUE
"2517899",39.3875,3.49583333333333,1.6864666219245e-111,1.22104871850325e-131,5.68825227357329e-221,7.54205030053055e-111,1.62727116501295e-113,TRUE
"2517900",39.3958333333333,3.49583333333333,2.210157415599e-120,9.06216766258585e-142,9.7695133614823e-239,9.88408486481288e-120,1.36653935229612e-122,TRUE
"2517901",39.4041666666667,3.49583333333333,2.62282536029341e-139,2.34474258529785e-163,1.37583989010059e-276,1.17296201562565e-138,7.91519302823027e-142,TRUE
"2517902",39.4125,3.49583333333333,3.94460277990913e-145,5.40502477940443e-170,3.11197410204891e-288,1.76407882535019e-144,9.15544928408548e-148,TRUE
"2517903",39.4208333333333,3.49583333333333,1.17600728954546e-142,3.57604209945441e-167,2.76598205937576e-283,5.25926046072617e-142,3.04958249086079e-145,TRUE
"2517904",39.4291666666667,3.49583333333333,4.67617225657472e-164,1.44951190500767e-191,0,0,4.6939986978071e-167,TRUE
"2517905",39.4375,3.49583333333333,1.15655857277649e-173,1.6460519104637e-202,0,0,7.57854816881235e-177,TRUE
"2517906",39.4458333333333,3.49583333333333,6.39766553021969e-157,1.92920409079749e-183,8.18602054741134e-312,2.86112225313973e-156,8.7553134122512e-160,TRUE
"2517907",39.4541666666667,3.49583333333333,1.68953267552658e-172,3.47268648911855e-201,0,0,1.16613205540205e-175,TRUE
"2517908",39.4625,3.49583333333333,1.07682622069637e-167,1.02771674870713e-195,0,0,9.18093946573613e-171,TRUE
"2517909",39.4708333333333,3.49583333333333,1.59907192613508e-158,2.86222861355511e-185,5.11405964156138e-315,7.15126537163975e-158,2.04418019397422e-161,TRUE
"2517910",39.4791666666667,3.49583333333333,3.57133634356654e-155,1.89916849777843e-181,2.55088709769272e-308,1.59714967917623e-154,5.28978348104276e-158,TRUE
"2517911",39.4875,3.49583333333333,7.65553520352456e-153,8.65130761235737e-179,1.1721435323944e-303,3.42365817860721e-152,1.25242454858373e-155,TRUE
"2517912",39.4958333333333,3.49583333333333,1.2174970699147e-149,3.79601154004038e-175,2.96459554976002e-297,5.44480995973231e-149,2.30392717711082e-152,TRUE
"2517913",39.5041666666667,3.49583333333333,2.38396907506487e-149,8.18382173536124e-175,1.13666066104819e-296,1.06614288960167e-148,4.56454845600653e-152,TRUE
"2517914",39.5125,3.49583333333333,3.28232337631734e-157,8.99133044806624e-184,2.15472822621608e-312,1.46789925615353e-156,4.43260905715476e-160,TRUE
"2517915",39.5208333333333,3.49583333333333,1.90210144515197e-177,7.91137289483175e-207,0,0,1.0561807801472e-180,TRUE
"2517916",39.5291666666667,3.49583333333333,1.00141502350585e-184,4.06434413605126e-215,0,0,4.04001850588154e-188,TRUE
"2517917",39.5375,3.49583333333333,2.05006006812328e-160,2.01273596156901e-187,8.40548942613254e-319,9.16814562827868e-160,2.41411764866799e-163,TRUE
"2517918",39.5458333333333,3.49583333333333,2.75122105173064e-161,2.02221952310196e-188,1.51381713885758e-320,1.2303727641888e-160,3.10918640281324e-164,TRUE
"2517919",39.5541666666667,3.49583333333333,6.97771148900671e-155,4.02435638406662e-181,9.73768539366963e-308,3.12052646097892e-154,1.05076678966764e-157,TRUE
"2517920",39.5625,3.49583333333333,5.30216739796449e-146,5.41069968081104e-171,5.62258907056444e-290,2.37119992209945e-145,1.18440538314432e-148,TRUE
"2517921",39.5708333333333,3.49583333333333,9.21424803609106e-141,5.10924155999988e-165,1.69804439872631e-279,4.12073342831868e-140,2.60679667668074e-143,TRUE
"2517922",39.5791666666667,3.49583333333333,2.75700506778416e-138,3.35334955865241e-162,1.5202122243942e-274,1.23296886594683e-137,8.69332487859405e-141,TRUE
"2517923",39.5875,3.49583333333333,1.05877718645419e-137,1.54579076419813e-161,2.2420134760537e-273,4.73499047100805e-137,3.43556133936373e-140,TRUE
"2517924",39.5958333333333,3.49583333333333,5.27536860265991e-139,4.93515959976001e-163,5.56589188077048e-276,2.35921425071367e-138,1.60879960941825e-141,TRUE
"2517925",39.6041666666667,3.49583333333333,3.66876738845662e-140,2.37670282150869e-164,2.69196605341246e-278,1.64072119917202e-139,1.06029523767802e-142,TRUE
