"","COUNTRY","DX_GROUP","LONG","LAT","YEAR_START","total","positive","prev","year","prev2"
"59","BFA","ss",-4.866967,10.78367,1989,457,10,0.0218818380743982,"1980s",2.18818380743982
"60","BFA","ss",-4.809088,10.72517,1989,315,7,0.0222222222222222,"1980s",2.22222222222222
"61","BFA","ss",-4.808535,10.640026,1989,487,1,0.00205338809034908,"1980s",0.205338809034908
"62","BFA","ss",-4.716666,11.06666,1975,468,330,0.705128205128205,"1970s",70.5128205128205
"63","BFA","ss",-4.436567,11.210607,1977,1016,557,0.548228346456693,"1970s",54.8228346456693
"64","BFA","ss",-3.409606,10.853923,1989,5062,86,0.0169893322797313,"1980s",1.69893322797313
"65","BFA","ss",-3.289691,10.878271,1996,1045,32,0.030622009569378,"1990s",3.0622009569378
"66","BFA","ss",-3.016666,10.683333,1980,483,395,0.817805383022774,"1980s",81.7805383022774
"67","BFA","ss",-2.8833,10.85,1996,110,0,0,"1990s",0
"68","BFA","ss",-0.699785,11.700336,1989,1160,1,0.000862068965517241,"1980s",0.0862068965517241
"69","BFA","ss",-0.63268,11.18885,1989,1886,4,0.00212089077412513,"1980s",0.212089077412513
"70","BFA","ss",-0.399999,12.716666,1989,252,1,0.00396825396825397,"1980s",0.396825396825397
"71","BFA","ss",-0.350129,11.583501,1989,277,1,0.0036101083032491,"1980s",0.36101083032491
"72","CAF","eye",15.6333333,7.4666667,1990,2765,154,0.0556962025316456,"1990s",5.56962025316456
"73","CAF","eye",15.6333333,7.4666667,1995,3226,142,0.0440173589584625,"1990s",4.40173589584625
"74","CAF","nod",15.583333,7.46666,1981,246,60,0.24390243902439,"1980s",24.390243902439
"75","CAF","nod",15.63333,7.46666,1981,244,59,0.241803278688525,"1980s",24.1803278688525
"76","CAF","nod",15.6333333,7.4666667,1990,309,118,0.381877022653722,"1990s",38.1877022653722
"77","CAF","nod",15.6333333,7.4666667,1995,362,113,0.312154696132597,"1990s",31.2154696132597
"78","CAF","nod",15.65,6.983333,1981,100,28,0.28,"1980s",28
